year,relShock0,logS0,logD0,logPD0,logPS0,population
1961,-.03151527,-.38853508,-.3902995,4.9230747,4.9223595,3073077563
1962,.00046750519,-.35198495,-.36372057,4.9335046,4.9731812,3126066253
1963,-.023597598,-.34379488,-.35100019,4.9681535,4.883419,3191186048
1964,-.0046175914,-.3049916,-.32090253,4.7761178,4.8605499,3256700083
1965,-.026319027,-.32147971,-.28728274,4.7999225,4.7428002,3323623700
1966,.028218888,-.25299227,-.28231537,4.8746319,4.7777419,3393699205
1967,.02163299,-.23069912,-.26872921,4.6522517,4.8131843,3463147267
1968,.027572203,-.21918695,-.25256112,4.5389819,4.6921568,3533536526
1969,.016911816,-.23512267,-.24102043,4.5419383,4.531055,3608235815
1970,.014177368,-.23473804,-.20285718,4.6807466,4.4939599,3683676306
1971,.044499241,-.16310465,-.19858742,4.5716033,4.6456132,3761307048
1972,.011478186,-.19954973,-.17304188,4.8778496,4.5039816,3837726171
1973,.025365811,-.14455742,-.16979033,5.4241266,4.7198744,3913217944
1974,-.056527227,-.19681098,-.19586422,5.3767715,5.2426171,3989385034
1975,-.033183925,-.14671241,-.18256222,4.9623213,5.2189994,4063806523
1976,-.026246436,-.11703878,-.16740102,4.807909,4.9818902,4136393107
1977,-.031397048,-.11079793,-.12798314,4.6845713,4.8181233,4208770941
1978,.018588526,-.049188465,-.091382474,4.7983503,4.6728911,4282341460
1979,.0032054775,-.053768244,-.072698079,4.8174176,4.6858859,4357793599
1980,-.038177006,-.069983266,-.052056812,4.907052,4.8360124,4434021975
1981,-.0070119626,-.024857827,-.064303108,4.5512733,4.8487821,4512268962
1982,.014348495,-.011757936,-.045121517,4.3597813,4.6271691,4593454253
1983,-.018841365,-.094358504,-.038860146,4.5539446,4.4640875,4675367633
1984,.020895723,.0023437657,-.032542236,4.3730793,4.4533839,4756998073
1985,.031159397,.012723997,-.044194624,4.2824359,4.357336,4840155168
1986,.031442214,.0020415613,-.029189842,4.0252476,4.1865811,4925801334
1987,.010255856,-.046349082,-.022727285,4.0926127,3.9725049,5013576387
1988,-.050434142,-.092799135,-.037283245,4.3876615,4.0897942,5102293348
1989,.0068340641,-.0083725946,-.032807995,4.2399139,4.2987452,5190965222
1990,.029432328,.012583309,-.025059052,3.9254475,4.1557512,5281340078
1991,-.0093658296,-.026932647,-.031677056,4.1260896,4.0130024,5369210095
1992,.020737095,.0068575148,-.040350199,4.0204535,4.0619469,5453393960
1993,-.0061420081,-.04239732,-.033161104,4.1208353,4.0033402,5538448726
1994,.019569423,-.000035749574,-.011954175,3.9794285,4.0335269,5622575421
1995,-.019848719,-.04091816,-.011502313,4.2896218,3.992847,5707533023
1996,.014931802,.022608228,-.010628277,4.0526257,4.1276522,5790454220
1997,.013299464,.034734447,.0048904005,3.9743352,3.9710939,5873071768
1998,.018831084,.040364709,.016292779,3.7330143,4.0154557,5954810550
1999,.015304324,.032255635,.0154327,3.5582402,3.8451574,6035284135
2000,-.013310133,.0075023524,.015154873,3.6099327,3.7055535,6115108363
2001,.0099476473,.021404576,.031179618,3.6101878,3.7797718,6194460444
2002,-.027752409,-.014624941,.033175599,3.7920082,3.68045,6273526441
2003,-.020920867,.00092215126,.039121456,3.906846,3.7162178,6352677699
2004,.024036277,.081287652,.058233295,3.5682607,3.8096573,6432374971
2005,.0025542197,.076311626,.07041613,3.578794,3.683594,6512602867
2006,-.012842238,.058010492,.061541233,3.9973395,3.7286012,6593623202
2007,-.011289857,.093257427,.079569817,4.3610697,3.9857354,6675130418
